0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
-1,0,1,-1,-5,-2,-2,-2
0,-2,1,-2,-4,-4,-1,-1
0,-3,-2,-8,-8,-3,-2,-3
-3,0,-2,0,-5,0,0,-4
-2,0,0,1,3,2,-2,0
-1,-2,-6,-10,-1,-2,-1,-3
-1,-2,1,-3,-7,-2,0,0
-1,-1,2,-7,-3,-5,-3,-1
1,1,3,4,13,4,1,1
-1,-3,-7,-7,-5,-2,-1,0
-1,0,1,-5,0,-1,0,0
2,2,2,-4,-11,-1,-4,-5
1,2,0,-4,0,-1,0,-1
-1,-3,-3,-2,2,-1,1,-2
1,1,5,11,0,-2,0,1
-1,-3,-2,-10,-11,-4,-3,-3
-1,-1,0,6,-6,-1,-2,-2
0,-1,-2,-3,1,-1,-2,-2
-2,1,3,3,-12,0,0,0
11,15,9,7,14,14,10,1
2,10,10,24,-6,-32,55,2
-4,0,-6,2,-5,-21,-3,6
-14,-13,-17,-4,5,-31,-69,-13
2,1,-7,-7,-2,0,1,1
0,-1,3,8,-2,-6,-7,-2
-2,-3,-3,-5,-4,-3,-3,-3
0,1,1,-4,-7,-1,0,-1
0,0,-3,2,4,-2,-1,-1
1,1,2,-5,-8,-2,0,1
0,0,0,-1,-4,-1,-1,-2
-3,-1,1,-7,-3,-4,-2,0
-2,-3,0,-6,-7,-3,-2,0
-1,-2,0,0,-2,0,0,0
0,0,1,3,2,-1,-2,-2
-1,-1,-2,-1,-2,-1,-1,0
-1,-1,0,-1,-3,3,0,-2
-2,0,0,-2,-6,-2,-1,-1
-2,-1,-1,-2,2,0,0,0
-1,-2,0,-1,-1,-1,-2,0
-2,2,1,0,-2,-3,-1,-1
-2,0,2,-2,0,-1,-1,-1
-1,-1,0,1,-7,0,0,-3
0,-1,-1,-1,1,0,1,-1
-3,-1,-1,-2,2,-4,-2,0
1,-2,-3,-1,0,3,-1,0
2,3,2,1,-2,-3,-2,1
-1,-1,0,-2,-1,3,-2,-2
-1,1,-1,3,6,-2,-1,-1
-2,-3,-1,-9,-4,0,-3,-1
-2,-1,1,1,-6,-4,-2,0
-2,-2,-1,-2,3,-1,1,0
-2,-1,1,-2,-1,-1,-3,-1
-1,0,0,-5,-3,-1,-2,-1
-2,-1,-1,-2,-2,-2,0,-2
-1,-1,-1,-4,-3,0,-1,-2
0,0,0,-1,-2,-2,0,0
-2,-2,-3,-6,-5,-2,-2,-1
-2,-1,-1,8,0,0,0,-1
-2,-1,1,-1,0,0,0,-1
0,1,-1,-1,-2,-1,-2,-1
-2,-3,-4,-1,5,0,-2,-2
-2,-1,-2,5,7,3,0,1
0,1,-3,9,19,4,2,-1
-3,-2,2,-13,-5,-6,-6,-4
-4,-5,-1,-16,-11,-7,-4,-3
-1,0,1,6,-7,-5,-3,-2
4,1,0,5,8,2,0,0
-4,-3,0,-2,10,4,-2,0
-2,-2,-4,2,5,-4,-5,-2
-1,1,0,-14,-20,1,-1,-3
-1,-2,-1,2,-12,-5,-4,0
-1,-1,0,-2,-8,-2,-1,-2
-5,-7,-3,-7,-7,-6,-4,-2
-1,0,2,-14,-12,-1,2,0
19,6,2,-3,-5,4,-1,-1
-20,-8,-3,4,17,-2,-3,-3
29,6,-3,4,-1,15,-2,0
1,-1,2,-2,-11,0,2,0
-3,1,-1,-7,2,-1,-3,-2
0,-3,-8,1,3,-3,-2,-1
-1,2,5,9,7,-4,-2,-1
-3,-3,-5,-15,-5,-1,1,-1
-4,-2,-2,4,-8,1,1,-1
-3,-1,7,-7,-5,1,-3,-4
-13,-22,-32,-7,26,-3,-49,-17
19,12,28,-13,15,33,98,-3
3,2,-18,-8,-19,-4,-40,9
6,2,-11,-4,12,32,46,23
-3,-1,5,-2,2,3,-4,-7
-1,-2,-3,10,-1,3,6,3
0,-2,1,1,-7,-2,-1,2
0,1,3,4,10,1,0,-1
2,1,2,-7,-7,0,1,0
-2,-1,-1,-3,0,-5,-3,-1
-2,-1,-2,0,-1,0,-1,-1
1,-1,2,10,-27,-1,-1,0
0,0,1,4,0,0,0,-2
-2,-1,2,-5,-7,-1,-1,-2
-2,-1,-2,-2,-7,0,-1,-1
-2,1,-2,-2,-3,-3,-2,1
-2,0,-3,-7,-7,0,-2,-1
-2,-1,-2,-2,-1,1,-1,-2
0,0,0,-1,0,1,0,-1
-1,-3,0,1,-2,-2,-1,-3
-2,-2,0,-1,-2,-2,-1,0
-1,0,0,-5,-2,-3,0,-1
-3,-2,0,1,5,-2,-2,-1
-1,-1,-2,-2,-5,-1,-1,-2
-2,-1,3,-6,-6,-4,-1,0
-2,0,1,-2,1,0,-4,-1
-3,-1,0,-2,-1,-1,-3,0
-2,-3,1,-7,-5,-2,-2,-1
1,-1,-3,0,-4,1,0,-1
0,0,-3,-4,-3,3,-1,-2
1,-1,-1,-1,-2,0,-2,-2
-2,-2,1,1,-2,-1,0,1
0,0,-1,-5,-3,-2,-2,0
1,-2,2,-1,2,1,0,-3
0,-2,0,-1,-1,0,-3,-1
-1,0,1,-3,-1,-2,1,0
0,-2,-2,-2,0,-2,-3,-3
-1,-2,-4,2,7,1,-2,-1
-1,-2,-2,-1,-3,0,0,0
-1,-2,1,0,-7,-2,-2,-1
0,0,1,-1,-1,-3,-1,-2
-1,-1,1,-1,-4,-1,-4,-2
-10,-12,-15,-14,-4,-3,-14,-6
1,0,-14,20,29,33,-26,2
21,7,7,17,-6,54,107,18
16,2,6,2,24,57,19,3
1,-4,-1,13,22,1,-33,9
5,-1,0,15,-6,-6,2,7
2,0,4,9,-7,-1,6,2
-1,-1,-3,-2,-21,-4,-6,-4
0,-1,1,-6,-26,-4,-1,-2
-2,0,1,3,9,3,0,0
1,-2,-1,-5,-3,-2,0,-2
0,0,-1,-4,-2,1,-1,-2
-4,-1,-1,-2,0,-2,-3,-1
-3,-3,-2,-3,0,-2,-2,-1
0,-2,-2,1,0,-3,-3,0
-1,-1,-1,-1,2,1,-2,0
-2,-1,-2,-2,7,0,0,1
-1,-1,-3,-4,-4,-1,-1,2
-1,0,1,-1,0,0,-1,1
0,-1,0,0,-2,-2,-2,-2
-2,0,-1,-3,-2,-2,-3,-3
-2,0,0,1,-6,-1,0,0
0,0,-1,1,-3,-1,0,-1
-3,0,-1,-3,-3,-1,-2,1
-1,-2,0,-2,1,-1,-3,-1
0,-2,0,2,2,-1,-2,-1
0,-1,-1,3,0,1,0,1
-1,-1,-3,-3,0,-2,-1,-3
-1,-1,-3,-6,-2,-2,-2,0
0,-1,1,0,-5,-3,-1,0
-4,-2,0,1,-8,-2,-3,-1
0,-2,-1,-6,-2,-1,0,-2
-1,-1,-2,-3,-2,-2,-2,-1
-1,-2,0,-4,0,0,0,0
0,-1,0,0,-2,-2,0,0
-1,-2,-1,2,-3,1,-1,-1
1,-1,-4,-3,-1,-1,-3,-1
-2,-4,-4,-8,2,-3,0,-2
-2,0,-1,-1,2,-1,0,-1
-2,-2,1,-3,-5,-4,-2,-1
-1,-2,1,1,0,0,-1,-1
-15,10,5,14,28,-14,4,-2
-6,-13,-9,-6,-10,16,-80,-44
-33,-7,-7,-24,-19,-36,-122,-46
0,0,5,-17,-48,-35,-54,4
17,-7,15,8,0,20,29,5
-8,-8,-22,-12,-5,-21,-17,-8
-2,1,-2,1,8,4,1,3
1,1,1,10,0,1,12,6
-2,0,-2,11,6,0,0,1
-2,-1,-2,-3,1,0,-1,0
-1,-3,2,0,1,-3,-1,-1
-1,-2,0,1,1,-2,-1,-3
1,0,0,-5,2,1,-1,1
-2,-4,0,-4,-10,-1,-1,-2
-1,-1,1,2,-1,-2,-3,-1
-1,-1,-3,-10,-4,1,-1,0
-2,-1,-1,-1,0,0,-1,-2
0,-2,-1,3,-12,-2,-1,0
-2,0,1,-4,-5,1,-1,-2
0,0,0,-8,-8,-4,-3,-2
0,0,-2,3,2,-1,-1,-2
-1,-2,0,-4,-1,-1,-2,-1
-2,-3,-4,-1,7,-2,-1,-1
0,0,0,-1,-5,-3,-1,-2
0,1,0,-2,-3,-2,-2,1
-2,-1,-2,-1,-4,-1,-2,-2
-2,0,0,-3,0,-1,-2,-2
-1,-3,-1,-2,-4,0,0,-1
0,0,0,-1,-4,1,-1,-1
-2,-1,-2,-3,-3,3,-1,-2
-1,-3,-1,1,0,-1,-1,-2
-3,-2,0,0,-1,0,-3,-2
1,-1,3,3,-2,1,0,-1
-2,0,-1,2,2,-1,0,-3
0,-2,-2,-5,-1,0,-1,-1
-2,1,-1,-5,-3,-1,-1,0
-2,-1,-1,-1,-1,1,-1,-1
