0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 82
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 158
0 , 0 , 0 , 3 , 9 , -2 , -3 , -2 , 236
-3 , -4 , -6 , 18 , 1 , -5 , -2 , -3 , 310
-2 , 1 , -1 , -6 , -4 , -2 , -1 , -1 , 389
-1 , -3 , -4 , -10 , -3 , -2 , -1 , -2 , 464
-1 , -2 , -3 , -12 , -14 , -3 , -2 , -1 , 534
-6 , -50 , 48 , 24 , 29 , 7 , 1 , 0 , 619
-15 , 22 , 77 , 14 , -3 , -31 , 0 , -19 , 697
9 , 21 , 25 , -31 , -45 , -16 , 1 , 0 , 763
4 , 38 , 27 , 13 , 6 , 12 , 1 , 12 , 830
6 , 21 , 8 , -12 , -41 , -17 , -4 , -9 , 909
-1 , -1 , 14 , -7 , -7 , -7 , -3 , -6 , 990
2 , -15 , -14 , -12 , -2 , -3 , -4 , 10 , 1060
-7 , 1 , -2 , 8 , -32 , -3 , -2 , 7 , 1132
-9 , -5 , -3 , 0 , -33 , -24 , -11 , -23 , 1213
-16 , 0 , 14 , 38 , -32 , -43 , -20 , -103 , 1291
19 , 1 , 2 , 12 , -16 , -29 , 44 , 4 , 1367
-17 , -4 , 1 , 36 , 39 , -24 , -5 , -30 , 1442
26 , 8 , -4 , 0 , -17 , -2 , -14 , 89 , 1522
-20 , -13 , -1 , -12 , 4 , -51 , -9 , -17 , 1600
-6 , -14 , -18 , -13 , -7 , -13 , 3 , -8 , 1678
-7 , -6 , -3 , 2 , 2 , -6 , -3 , -11 , 1750
-6 , -2 , 3 , -10 , 12 , 8 , 1 , 2 , 1832
-6 , -7 , -9 , -15 , -6 , 0 , -1 , -1 , 1908
3 , -1 , -2 , 5 , 0 , -5 , 0 , -2 , 1978
2 , 26 , 6 , 2 , 0 , -2 , 0 , -2 , 2047
1 , -2 , -6 , 3 , 1 , 1 , 0 , -1 , 2126
-1 , -1 , 9 , 10 , 18 , 1 , -1 , 3 , 2208
8 , 10 , 6 , -3 , 11 , 6 , 17 , 23 , 2288
-14 , -52 , -25 , -5 , -17 , 0 , 6 , -9 , 2371
-16 , -14 , 0 , -2 , 1 , -4 , -7 , 6 , 2448
-3 , 4 , 2 , -1 , -5 , 0 , -1 , -11 , 2529
1 , 10 , 0 , 5 , 4 , -2 , 2 , -3 , 2610
2 , 12 , 5 , -3 , -3 , -1 , -2 , -1 , 2691
0 , -12 , -3 , -29 , -23 , -3 , -3 , -1 , 2770
-1 , -3 , -1 , 0 , 18 , 3 , 3 , 3 , 2852
-6 , -5 , -3 , 6 , 36 , 2 , 17 , -5 , 2934
0 , 1 , -7 , -32 , -3 , -17 , -13 , -2 , 3019
-2 , -3 , -6 , -56 , -51 , -1 , -6 , -4 , 3100
-2 , 0 , -3 , 30 , 48 , -5 , -9 , -3 , 3167
-3 , 1 , 5 , 6 , -14 , -16 , -3 , -4 , 3232
1 , 3 , 5 , 6 , 12 , 2 , 0 , 1 , 3304
5 , 3 , 11 , -5 , -25 , -24 , -13 , 1 , 3375
7 , 0 , -14 , -25 , -3 , 6 , 24 , 21 , 3450
-26 , -23 , -43 , -22 , 0 , 17 , -64 , -43 , 3531
-8 , -8 , -11 , -11 , -1 , -14 , -10 , -12 , 3610
-2 , -1 , -2 , 4 , -1 , -8 , -4 , -1 , 3690
1 , 1 , 6 , 3 , 1 , -10 , -4 , 2 , 3774
-2 , 15 , 2 , -2 , -3 , -4 , 13 , -6 , 3856
-1 , -3 , -2 , 5 , 30 , 1 , 38 , 17 , 3938
3 , 3 , -1 , -39 , -66 , -8 , -12 , -30 , 4018
0 , -1 , 0 , 26 , 14 , 5 , 13 , 11 , 4102
0 , 0 , 1 , 11 , 14 , -3 , -2 , -1 , 4177
-4 , 4 , 24 , 0 , -10 , -12 , -1 , 0 , 4267
-24 , -1 , 13 , 12 , 4 , -50 , -6 , -21 , 4345
0 , -6 , -25 , -13 , 1 , -13 , 7 , 3 , 4412
0 , 3 , -3 , 2 , -5 , -24 , -9 , -6 , 4487
2 , -5 , -6 , 5 , 2 , 4 , 3 , 7 , 4567
2 , -3 , 12 , -2 , -3 , 3 , 5 , 1 , 4646
1 , 18 , 3 , 0 , -1 , 1 , 2 , 2 , 4728
1 , 1 , -1 , -2 , 0 , 0 , 3 , -1 , 4808
2 , 4 , 1 , -2 , -1 , 1 , 3 , 2 , 4882
-5 , -27 , -2 , -2 , -1 , -3 , -4 , -3 , 4961
1 , 2 , 5 , 4 , 1 , 2 , 4 , 3 , 5033
0 , -6 , -4 , -1 , -3 , -1 , -2 , -2 , 5100
0 , 4 , -3 , 0 , 0 , -3 , 0 , -1 , 5169
-2 , -1 , 2 , -1 , -4 , -1 , -1 , -1 , 5250
-3 , -3 , -2 , -1 , -2 , -1 , -2 , -3 , 5330
12 , 22 , 10 , 52 , -45 , 0 , 25 , -23 , 5415
-3 , -11 , -9 , -36 , -33 , -7 , -8 , -18 , 5494
0 , -1 , -1 , -14 , -5 , 20 , -11 , -7 , 5574
0 , 3 , 2 , -12 , 6 , 1 , -4 , -4 , 5646
0 , 0 , -5 , -1 , -1 , 1 , 0 , 0 , 5724
-12 , -11 , -10 , -39 , -14 , -2 , 0 , 4 , 5804
