0,0,0,0,0,0,0,0,65
0,0,0,0,0,0,0,0,125
-1,1,-5,6,-1,-1,0,-1,181
3,-2,-1,1,-5,-3,-2,-1,235
-2,-4,-10,2,-5,1,-1,0,293
0,2,2,-10,-13,-3,3,-1,350
2,-2,1,29,-4,1,-7,-9,407
1,2,1,-2,-1,0,1,0,464
-2,1,3,-3,-2,-4,-4,-2,521
-2,6,8,9,-3,-6,-2,-2,581
-4,-6,-2,2,3,0,0,-2,639
-2,-1,-2,0,-4,0,0,-1,697
2,-1,5,-7,-3,-2,-1,1,756
-2,-1,1,-1,2,-3,0,-1,814
0,-5,-5,-3,-21,-5,-1,-2,871
1,-4,-3,0,0,2,-1,-1,928
3,-4,-2,-1,-7,0,-1,-1,989
-3,2,-4,-17,-9,-1,-2,-3,1048
-11,2,4,-6,-20,13,0,2,1104
-17,-2,-4,-4,45,5,-2,-11,1163
-4,-7,-9,-13,12,-11,0,3,1220
-12,-4,-8,-21,-12,9,-2,-2,1278
-2,1,6,26,6,-3,-5,-2,1338
3,4,7,38,38,12,7,4,1396
-4,-6,-4,-8,-6,-13,15,15,1454
25,1,-3,-1,37,2,5,0,1512
-5,-7,-10,-24,-15,-18,-16,-9,1570
-20,-5,8,28,25,-28,-12,-4,1628
-20,-11,-10,-7,27,3,-3,-4,1687
-12,-5,-8,-29,-92,-23,-21,-8,1746
-10,-1,6,6,35,8,9,9,1804
-10,-2,-1,40,112,3,-14,6,1863
39,14,18,72,59,38,41,21,1921
-1,-5,-4,-21,-61,-16,-8,3,1979
-25,3,-11,-22,29,1,-5,-10,2036
7,2,5,20,-25,-30,-26,-15,2095
-17,-6,-1,-4,56,42,15,7,2154
-7,-5,2,67,58,-25,5,-11,2214
2,7,4,-37,-95,-15,-20,-3,2273
6,4,6,24,-14,-1,17,0,2333
10,22,36,91,5,19,14,-8,2390
-5,-16,-18,-49,19,-3,-21,-16,2448
-6,8,10,31,31,35,17,11,2507
-15,0,13,60,56,-4,-3,-1,2567
10,-4,-4,14,14,-3,1,17,2626
6,-2,1,17,-43,-39,-7,-3,2684
-2,-3,-7,-12,1,-12,-8,-3,2742
-20,-6,-1,9,2,-2,-8,-20,2800
4,9,10,40,-16,-11,-8,-18,2858
-6,-3,-2,-6,-10,-6,-5,-3,2917
-3,3,1,10,-4,-12,-11,-5,2975
-5,-5,-3,9,25,0,-2,-1,3034
0,1,7,24,13,9,5,2,3092
7,-2,-2,-9,-26,1,-1,-1,3150
-3,-1,-3,0,1,4,1,1,3212
4,2,4,40,12,-9,-5,-2,3272
-23,-4,-2,-19,-27,-8,3,3,3330
6,-2,-5,-7,22,27,5,-3,3388
-3,-1,0,12,27,-9,-1,-7,3445
-13,3,9,-6,-88,7,2,-5,3505
4,-3,-8,-10,11,2,-10,-11,3561
11,-1,-1,-3,33,12,15,8,3616
-18,0,-4,-16,-10,-17,-24,-6,3675
-10,-9,-12,-23,-7,1,-3,-6,3734
10,20,33,85,18,51,18,7,3789
-9,-6,-7,-34,-42,-30,-22,-25,3847
6,0,4,10,26,8,35,7,3907
-6,1,-1,-14,-49,-76,-13,-6,3965
25,13,11,41,-37,22,9,3,4022
9,-7,-6,-17,-2,2,-3,1,4081
-8,-3,-1,-15,-87,-4,-5,-8,4139
-7,-3,1,8,32,-5,-7,-3,4199
-5,-3,-6,-17,-7,-8,-7,-1,4261
2,2,7,2,-43,-2,1,1,4320
2,5,-2,0,-2,-2,0,-1,4380
-4,-4,-13,-9,-6,-2,-3,-4,4440
1,-1,7,4,1,0,-3,-1,4496
-3,-5,8,-1,-1,-1,1,-2,4555
2,12,11,4,1,0,1,1,4614
0,-4,-17,-1,0,2,18,1,4673
-1,0,-3,-8,-6,4,2,0,4733
2,0,7,0,-1,-7,-5,0,4793
-4,-8,5,24,21,4,4,-2,4852
-2,-8,-16,-10,-2,-7,3,-3,4913
0,7,1,-6,-9,-4,1,-1,4971
-3,1,-3,-4,-4,-3,-1,0,5029
4,5,4,-2,-10,-2,-3,0,5087
-8,-9,-7,5,6,1,2,-3,5146
-1,-4,-7,3,7,-4,-2,-2,5204
7,13,20,17,-15,-4,-1,1,5263
2,3,2,-12,-2,-12,-1,0,5319
1,6,8,-1,-20,-8,-5,-2,5385
1,-5,-3,2,-3,-4,-6,-2,5445
0,-2,-3,-23,-40,4,-1,0,5504
0,-1,6,13,18,6,-2,-9,5565
-11,5,9,11,22,1,-2,-8,5625
3,3,-2,2,2,1,0,-1,5684
10,1,-5,-1,-5,1,2,21,5745
2,4,-1,-4,-4,-4,3,-3,5805
7,1,-1,-3,-2,-2,0,7,5864
-7,-3,-4,-16,-34,-6,-14,-7,5923
-10,-6,-6,-6,-11,0,2,1,5985
-3,-2,-1,1,8,2,-4,-2,6045
-8,-4,-5,-1,-3,1,-1,3,6103
-7,-4,-2,0,1,-2,-1,-27,6164
5,0,2,-1,-7,-2,-2,5,6223
3,4,4,1,18,2,-3,-3,6281
9,-1,2,1,6,1,-4,-2,6341
0,-3,0,1,0,-2,-5,-3,6397
-3,-5,-3,-3,-1,-2,-4,-16,6459
-7,-6,-6,-5,-13,0,-4,-7,6521
10,-1,1,5,-1,1,1,10,6580
4,4,0,-6,-4,-2,-3,7,6639
3,0,1,3,-1,-2,-1,-6,6699
-4,-5,-5,-1,1,0,-1,3,6757
3,-2,-1,1,-4,-1,4,60,6816
4,-1,-2,-3,0,0,-2,-7,6875
3,-2,-3,0,3,0,-1,-1,6935
2,1,2,3,1,-1,-2,4,6994
8,-4,-2,-1,1,-2,1,10,7055
-2,0,-1,-3,-9,-3,-1,5,7114
-1,-2,0,-2,-2,-2,-2,9,7176
-3,1,-1,-3,-7,-1,-1,4,7238
11,3,0,-1,-6,-2,-1,4,7298
2,4,-2,-2,-6,-3,0,27,7357
-2,-2,1,-7,-2,0,-2,-6,7416
7,1,-1,0,2,0,0,-4,7474
-6,-2,-1,0,5,0,0,3,7534
2,0,-2,-6,-2,1,0,-6,7597
-9,-9,-6,-4,-1,0,-2,-1,7656
4,3,0,-3,-6,-1,-3,-7,7715
-2,0,-5,-3,-2,0,0,-7,7774
1,-1,2,-5,-5,-2,0,8,7834
1,-1,-3,-6,1,-4,-2,-4,7893
-2,-2,0,-5,2,2,-1,-17,7952
2,2,3,6,3,-1,-1,6,8015
0,-7,-6,-5,-1,-3,-4,-2,8074
-5,-3,3,-2,-2,-1,0,-2,8135
-2,-1,-1,1,5,3,1,-8,8195
0,0,1,0,-4,1,-3,3,8255
-12,1,1,-3,-10,-2,-2,-7,8315
5,2,1,0,-2,0,1,5,8375
-2,-1,-3,-1,-3,-4,-3,-6,8436
-1,-5,-1,-4,-5,-1,-2,-11,8495
-5,-2,-3,-3,-4,-5,-2,-5,8554
1,-2,-2,-3,2,0,0,10,8614
-3,-3,-3,-4,-2,-2,-2,-2,8673
-2,-4,-3,-4,5,-2,-4,-24,8731
-5,-6,-4,0,-4,-3,-1,-3,8792
-1,3,0,-1,-1,3,0,-3,8850
1,-1,0,0,3,-1,-1,7,8908
7,3,3,4,-3,2,5,35,8968
-4,0,1,1,2,-2,-2,-6,9028
-4,-3,-2,1,8,-3,-1,4,9087
-4,-7,-3,-5,-5,-2,-1,3,9146
-3,-2,-1,2,2,0,-3,-5,9207
-10,0,0,-3,-3,0,-3,-9,9266
0,-1,-3,3,2,-1,1,2,9325
-3,-1,-4,-2,-6,-2,-1,3,9383
