0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 75
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 142
1 , 1 , -4 , 2 , 1 , 3 , -1 , 0 , 210
1 , 8 , 11 , 9 , 2 , 5 , 0 , 1 , 287
0 , -8 , 22 , 22 , 4 , 2 , 2 , 2 , 362
10 , 14 , 31 , 7 , 0 , -1 , 4 , 6 , 440
-15 , -25 , -53 , -28 , -21 , -15 , -11 , -12 , 524
-30 , -29 , 4 , 25 , 2 , -20 , -27 , -61 , 603
3 , 1 , 30 , 11 , 15 , 17 , 17 , 20 , 673
-5 , 0 , 17 , 41 , -39 , -2 , 34 , 22 , 734
6 , -7 , 12 , 37 , -1 , 9 , 0 , -6 , 811
1 , 3 , 1 , -32 , -31 , -2 , -8 , 0 , 889
8 , 7 , 10 , 19 , 7 , 4 , -2 , 34 , 968
-9 , -2 , 0 , 2 , -54 , -21 , 4 , -3 , 1039
21 , -1 , -5 , -13 , 4 , -19 , 9 , -10 , 1106
11 , -11 , -11 , -15 , -29 , -34 , -59 , 17 , 1170
-3 , -4 , 1 , -1 , 62 , 21 , -27 , -67 , 1237
10 , -3 , -5 , -28 , -102 , -48 , 3 , 20 , 1311
5 , 2 , 5 , 29 , 21 , 16 , 18 , 29 , 1389
5 , 0 , -4 , -18 , 17 , 2 , 24 , 16 , 1465
17 , 11 , 0 , 6 , 2 , 5 , 10 , 89 , 1539
-50 , -46 , -11 , -14 , -33 , -44 , 2 , 46 , 1611
-74 , 56 , 8 , -6 , 23 , 9 , -11 , -26 , 1830
8 , 0 , 2 , 11 , -40 , -6 , -20 , -13 , 1924
47 , 7 , -6 , -5 , 16 , -16 , 49 , 66 , 1989
10 , 3 , 1 , -14 , 17 , 11 , 6 , 14 , 2059
1 , 3 , 12 , 12 , 0 , 6 , 3 , 1 , 2136
-4 , -8 , -5 , 2 , -5 , 7 , 4 , 26 , 2220
-46 , -2 , -7 , -19 , -17 , 24 , -44 , -53 , 2297
22 , 8 , -2 , -8 , 14 , 19 , 12 , 41 , 2374
45 , 31 , 22 , 10 , 6 , 37 , 28 , 19 , 2448
12 , 4 , -4 , -2 , -9 , 29 , 75 , 9 , 2528
2 , 0 , -2 , 0 , -3 , -8 , -15 , -1 , 2607
-1 , -5 , -2 , -4 , 7 , 16 , 6 , -2 , 2687
1 , -1 , -1 , 0 , -1 , -7 , -1 , -1 , 2767
-6 , 0 , 0 , -1 , 0 , -5 , -1 , -2 , 2846
-1 , 0 , -1 , -1 , -1 , -1 , -2 , 0 , 2956
-3 , -4 , -2 , -5 , -2 , 3 , -2 , 0 , 3037
-1 , -2 , 2 , 2 , 0 , -2 , -2 , -1 , 3114
2 , 24 , 2 , -1 , -2 , 0 , 0 , -1 , 3180
