5 , 1 , 5 , 20 , -13 , 2 , -6 , 3 , 65
-17 , -2 , 4 , 16 , 65 , 10 , -8 , -2 , 125
-3 , 0 , 0 , 0 , 2 , 3 , 4 , 2 , 181
-10 , -3 , -4 , -6 , -27 , -8 , -1 , -5 , 242
-3 , -4 , -6 , 1 , 3 , -2 , 1 , 1 , 298
-3 , -7 , -8 , 3 , -4 , -5 , -2 , 0 , 354
-1 , -2 , -4 , -15 , -3 , -6 , -3 , -1 , 412
1 , 3 , 4 , 8 , 9 , 2 , -1 , 1 , 468
0 , -1 , -2 , -3 , -3 , 0 , -2 , -1 , 524
-2 , -3 , -5 , -1 , -7 , 1 , 0 , -1 , 582
1 , 1 , 1 , 7 , 15 , -5 , 0 , 1 , 640
0 , 4 , 3 , -1 , -43 , -4 , 0 , -1 , 697
0 , -3 , -9 , -1 , 4 , 5 , 1 , 1 , 755
-2 , -3 , -1 , 1 , 7 , -3 , 2 , -1 , 812
-2 , -2 , -1 , -14 , -13 , -3 , -4 , 1 , 868
-3 , -9 , -8 , 3 , -10 , -5 , -3 , -3 , 924
2 , 6 , 4 , -4 , -5 , -4 , -6 , -1 , 980
0 , 0 , 2 , 1 , -32 , -17 , -5 , -4 , 1042
0 , -2 , -3 , -8 , -7 , 0 , -1 , 0 , 1099
-1 , -2 , -3 , -5 , -7 , -4 , -1 , -2 , 1155
2 , 3 , 4 , 11 , 29 , 1 , 1 , 0 , 1211
0 , 0 , -2 , 1 , 27 , -4 , -1 , -2 , 1268
0 , -2 , 2 , -6 , -2 , 2 , 20 , 0 , 1324
-4 , -3 , -2 , -2 , -14 , -4 , -1 , -3 , 1383
-2 , -3 , -2 , 2 , 2 , 0 , 0 , -3 , 1443
-2 , -1 , 0 , 0 , 2 , 0 , 0 , -2 , 1499
0 , -2 , 0 , 4 , 0 , 0 , -1 , -1 , 1556
-1 , -1 , 0 , 9 , -3 , -6 , 3 , 0 , 1615
-2 , -3 , -3 , -7 , 1 , -2 , 2 , 0 , 1673
-4 , -3 , -1 , -5 , 4 , 9 , -2 , -2 , 1732
-4 , -1 , -5 , 0 , 17 , 3 , -1 , -2 , 1787
0 , 1 , 1 , -6 , -4 , 1 , -6 , 0 , 1847
-2 , 1 , 2 , 4 , 34 , -2 , -1 , -2 , 1905
-2 , -2 , -5 , -4 , -16 , -2 , 0 , -1 , 1963
-1 , -1 , -1 , 4 , 11 , 1 , -1 , 0 , 2023
0 , -1 , 1 , 3 , 8 , 2 , -3 , -5 , 2080
0 , -1 , -1 , -1 , -11 , -8 , -4 , -3 , 2139
-2 , -2 , -2 , -6 , -3 , -13 , -2 , -2 , 2202
-1 , -3 , -4 , -2 , -9 , -5 , -1 , -1 , 2265
-2 , -3 , 0 , 14 , -1 , 2 , -1 , -3 , 2327
-1 , -1 , -2 , 1 , -17 , 0 , 3 , -1 , 2385
-6 , -5 , -5 , -6 , -2 , -13 , -3 , -2 , 2444
-1 , -1 , -4 , -8 , -2 , 0 , -1 , -2 , 2503
-2 , -1 , -1 , -5 , -7 , 3 , -2 , 0 , 2574
-2 , -2 , -1 , -4 , -20 , -3 , -3 , -3 , 2646
-1 , -1 , -2 , -5 , -18 , -11 , -3 , -2 , 2705
0 , -3 , -4 , -3 , 0 , 2 , -1 , -1 , 2774
-2 , 0 , 0 , -3 , -4 , -1 , -1 , -1 , 2846
-1 , -1 , 0 , -1 , -4 , -3 , 0 , -2 , 2907
-3 , -5 , -3 , -5 , 20 , -6 , -5 , -4 , 2975
-1 , -1 , 1 , -6 , -33 , -2 , 0 , 0 , 3033
-2 , 0 , -1 , 0 , -5 , -3 , 1 , -3 , 3089
0 , 2 , 3 , 8 , 12 , 2 , 1 , 0 , 3147
-2 , 0 , -2 , -2 , 21 , 1 , 0 , -1 , 3203
0 , 1 , 2 , 7 , 6 , 4 , 2 , 0 , 3260
-4 , -2 , -2 , -3 , -10 , -5 , -1 , -2 , 3317
-1 , -2 , -1 , 0 , 1 , -1 , 1 , -1 , 3377
-2 , -5 , -6 , -5 , 7 , 0 , -2 , -1 , 3436
-1 , -2 , -3 , 2 , 8 , -1 , 0 , -3 , 3494
-1 , -3 , 1 , -1 , 1 , 3 , 1 , 0 , 3552
-1 , -2 , -6 , -10 , -5 , -8 , -6 , -2 , 3611
-3 , -1 , -1 , 2 , 10 , -2 , -6 , -1 , 3668
